german_noun,gender,translation,level
Fahrgast,der,passenger,
Fahrkarte,die,ticket,A1
Fahrplan,der,"timetable, schedule",A2
Fahrrad,das,"bicycle, bike",A1
Fahrschein,der,ticket,
Fahrstuhl,der,"lift, elevator",
Fahrt,die,"ride, drive, journey, trip",
Fahrverbot,das,"driving ban, ban on driving",
Fahrzeug,das,"vehicle, car",B1
Fakt,der,fact,
Faktor,der,factor,B1
Fakultät,die,faculty,
Fall,der,"fall, case",B1
Familie,die,family,A1
Familienname,der,"surname, family name, last name",A1
Familienstand,der,"marital status, family status",A1
Fan,der,"fan, supporter",A2
Fantasie/Phantasie,die,"imagination, fantasy",B1
Farbe,die,"colour, color, paint",A1
Fasching,der,carnival,B1
Fassade,die,"façade, facade, front",
Fassung,die,"version, composure, frame, socket",
Faust,die,fist,
Favorit,der,"favourite, favorite",
Fax,das,fax,A1
Februar,der,February,A1
Feder,die,"feather, spring, plume, quill",
Fehler,der,"mistake, error, fault, bug, defect",A1
Feier,die,"celebration, party",A1
Feierabend,der,"end of work, closing time, evening",A1
Feiertag,der,holiday,A1
Feigheit,die,cowardice,
Feind,der,enemy,
Feld,das,"field, area, box, pitch",B1
Fell,das,"fur, coat, skin",
Felsen,der,"rock, cliff",
Fenster,das,window,A2
Fensterscheibe,die,window pane,
Ferien,die,"holiday, vacation",A2
Fernbedienung,die,remote control,B1
Ferne,die,distance,
Fernsehen,das,television,B1
Fernseher,der,"television, TV",A2
Ferse,die,heel,
Fessel,die,"fetter, shackle, chain, bond, ankle",
Fest,das,"festival, celebration, feast, party",A2
Festival,das,festival,A2
Festnahme,die,"arrest, detention, apprehension",
Festnetz,das,"landline, fixed network",
Festplatte,die,"hard disk, hard drive",B1
Feststellung,die,"observation, remark",
Fett,das,"fat, grease",B1
Feuer,das,fire,A1
Feuerwehr,die,"fire brigade, fire department",B1
Feuerwerk,das,fireworks,
Feuerzeug,das,(cigarette) lighter,B1
Fieber,das,fever,A1
Figur,die,"figure, figurine, character, shape",B1
Filiale,die,"branch, store",
Film,der,"film, movie",A1
Finale,das,"final, finale",
Finanzen,die,finances,
Finanzierung,die,financing,
Finger,der,finger,B1
Fingerabdruck,der,fingerprint,
Fingernagel,der,fingernail,
Finnland,das,Finland,
Firma,die,"firm, company, business",A1
Fisch,der,"fish, Pisces",A1
Fläche,die,"area, surface",B1
Flagge,die,flag,
Flasche,die,bottle,A1
Fleck,der,"stain, spot, speckle",B1
Fleisch,das,"meat, flesh",A1
Flexibilität,die,flexibility,
Fliege,die,"fly, bow tie",
Fliese,die,tile,
Flohmarkt,der,flea market,A2
Flöte,die,"flute, pipe",B1
Flucht,die,"flight, escape",B1
Flüchtling,der,refugee,
Flug,der,flight,A2
Flügel,der,wing,
Fluggesellschaft,die,airline,
Flughafen,der,airport,A1
Flugzeug,das,"plane, airplane, aeroplane, aircraft",A1
Flur,der,"hall, hallway, corridor",B1
Fluss,der,"river, flow, flux, stream",A2
Flüssigkeit,die,"liquid, fluid, liquidity, fluency",B1
Föhn,der,hairdryer,
Folge,die,"result, consequence, episode, sequence",B1
Folie,die,"foil, film, slide",B1
Forderung,die,"demand, claim, call",B1
Förderung,die,"support, sponsorship, promotion",B1
Form,die,"form, shape",B1
Format,das,format,
Formel,die,formula,
Formular,das,form,A1
Formulierung,die,"formulation, wording",
Forscher,der,"researcher, explorer, scientist",
Forschung,die,research,B1
Fortbildung,die,"further education, training",B1
Fortschritt,der,"progress, advance, step forward, improvement",B1
Fortsetzung,die,"continuation, sequel, follow-up",B1
Forum,das,"forum, audience, public discussion",B1
Foto,das,"photograph, photo, picture, shot",A1
Fotoapparat,der,(photo) camera,A2
Fotograf,der,photographer,B1
Fotografie,die,photography,B1
Frage,die,question,A1
Fraktion,die,"fraction, faction, parliamentary party, parliamentary group",
Frankreich,das,France,
Franzose,der,Frenchman,
Französisch,das,French,A2
Frau,die,"woman, wife, Mrs.",A1
Fräulein,das,"young lady, miss",
Freibad,das,"outdoor pool, outdoor swimming pool",
Freiheit,die,"freedom, liberty",B1
Freitag,der,Friday,A1
Freizeit,die,"free time, spare time, leisure (time)",A1
Fremde,der,"stranger, foreigner",
Fremdsprache,die,foreign language,B1
Frequenz,die,frequency,
Freude,die,"joy, pleasure, delight",B1
Freund,der,"friend, boyfriend",A1
Freundin,die,"friend, girlfriend",A1
Freundlichkeit,die,"friendliness, kindness",
Freundschaft,die,friendship,B1
Frieden,der,peace,B1
Friedhof,der,"cemetery, graveyard",
"Friseur, Frisör",der,hairdresser,A2
Frist,die,"time period, deadline",B1
Frisur,die,"hairstyle, hairdo",B1
Front,die,front,
Frucht,die,fruit,B1
Frühjahr,das,spring,A2
Frühling,der,"spring, springtime",A1
Frühstück,das,breakfast,A1
Fuchs,der,"fox, chestnut",
Führer,der,"leader, guide",
Führerschein,der,"driving licence, driver's license",A2
Führung,die,"management, command, leadership, guided tour, lead",A1
Fülle,die,"abundance, wealth, fullness, corpulence",
Fundbüro,das,"lost property office, lost-and-found office",B1
Fundsache,die,lost property,A2
Funktion,die,"function, feature, role",
Furcht,die,fear,
Fusion,die,"fusion, merger",
Fuß,der,foot,A1
Fußball,der,"soccer, football",A1
Fußgänger,der,pedestrian,B1
Fußgängerzone,die,"pedestrian zone, pedestrian precinct",B1
Gabel,die,fork,A2
Gage,die,"fee, pay, salary",
Galerie,die,gallery,B1
Gang,der,"corridor, aisle, course, gear",B1
Gans,die,goose,
Garage,die,garage,A2
Garantie,die,"guarantee, warranty",B1
Garderobe,die,"wardrobe, cloakroom, checkroom, dressing-room",B1
Garten,der,garden,A1
Gärtner,der,gardener,
Gas,das,"gas, accelerator",B1
Gast,der,"guest, customer, visitor",A1
Gastgeber,der,host,
Gasthaus,das,"guest house, inn, tavern",B1
Gaststätte,die,restaurant,B1
Gatte,der,"husband, spouse",
Gattin,die,"wife, spouse",
Gebäck,das,"pastries, biscuits",B1
Gebäude,das,building,B1
Gebiet,das,"region, area, territory, field",B1
Gebirge,das,"mountains, mountain range",B1
Gebrauch,der,"use, usage, application",
Gebrauchsanweisung,die,"instructions for use, directions for use, operating instructions, user manual",B1
Gebühr,die,"fee, charge, commission",B1
Geburt,die,birth,B1
Geburtsjahr,das,year of birth,A1
Geburtsort,der,"place of birth, birthplace",A1
Geburtstag,der,"birthday, date of birth",A1
Gedächtnis,das,"memory, remembrance",
Gedanke,der,thought,B1
Gedicht,das,poem,B1
Geduld,die,patience,B1
Gefahr,die,"danger, threat, risk",B1
Gefangene,der,"prisoner, captive",
Gefängnis,das,"prison, jail",B1
Gefäß,das,"vessel, container",
Geflüchtete,der,refugee,
Gefühl,das,feeling,B1
Gegend,die,"area, region",B1
Gegensatz,der,"opposite, contrast",B1
Gegenstand,der,"object, article",B1
Gegenteil,das,opposite,A2
Gegenwart,die,present,
Gegner,der,"opponent, adversary, competitor, enemy",B1
Gehalt,das,"salary, wage, pay",A2
Gehalt,der,"content, meaning",
Geheimdienst,der,"secret service, intelligence",
Geheimnis,das,"secret, mystery",B1
Gehirn,das,brain,
Gehsteig,der,"sidewalk, pavement",B1
Geisel,die,hostage,
Geist,der,"mind, spirit, phantom, ghost",
Geiz,der,"meanness, stinginess, miserliness",
Gelände,das,"ground, terrain, area, site",
Gelassenheit,die,"serenity, calmness, composure, equanimity, poise",
Geld,das,money,A1
Geldautomat,der,"cash dispenser, cash machine, ATM",B1
Geldbeutel,der,"wallet, purse",
Geldbörse,die,"wallet, purse",A2
Gelegenheit,die,"opportunity, occasion",B1
Gelenk,das,joint,
Gelenkigkeit,die,"flexibility, agility, suppleness",
Geliebte,die,lover (female),
Gemälde,das,painting,
Gemeinde,die,"community, municipality, local authority, congregation",
Gemeinderat,der,"local council, municipal council",
Gemeinschaft,die,community,B1
Gemüse,das,vegetable,A1
Gen,das,gene,
Genehmigung,die,"approval, permit, permission, authorisation",
General,der,general,
Generalprobe,die,"dress rehearsal, final rehearsal",
Generation,die,generation,B1
Genuss,der,"pleasure, enjoyment, treat, indulgence, consumption",
"Geografie, Geographie",die,geography,A2
Gepäck,das,"luggage, baggage",A1
Gerät,das,"device, tool, equipment, appliance",A2
Geräusch,das,"sound, noise",
Gerechtigkeit,die,"justice, fairness",
Gericht,das,"court, dish",A2
Germanistik,die,German studies,
Geruch,der,"smell, odour, odor, scent",
Gerücht,das,"rumour, rumor",
Gesamt-,der,total,B1
Gesäß,das,"buttocks, bottom, posterior",
Geschäft,das,"business, deal, store, shop",A1
Geschäftsführer,der,"manager, managing director, general manager, director, CEO",
Geschenk,das,"gift, present",A1
Geschichte,die,"history, story",A2
Geschicklichkeit,die,"skill, dexterity, skilfulness, skillfulness",
Geschirr,das,"dishes, crockery, tableware, harness",A2
Geschlecht,das,"sex, gender",B1
Geschmack,der,"taste, flavour, flavor",B1
Geschmacksrichtung,die,"taste, flavour, flavor",
Geschoss,das,"floor, storey, story, projectile, bullet",
Geschwindigkeit,die,speed,B1
Geschwindigkeitsbeschränkung,die,speed limit,B1
Geschwister,das,"siblings, brothers and sisters",A1
Gesellschaft,die,"society, company",B1
Gesellschafter,der,"associate, shareholder",
Gesetz,das,law,B1
Gesetzbuch,das,"code, statute book",
Gesicht,das,face,A2
Gespenst,das,ghost,
Gespräch,das,"conversation, talk, chat",A1
Gestalt,die,"shape, form, figure",
Gestaltung,die,"design, organization, composition, layout",
Geste,die,gesture,
Gesundheit,die,health,A2
Getränk,das,"drink, beverage",A1
Getränkekiste,die,"crate, beverage crate, drinks crate",
Gewähr,die,guarantee,
Gewährleistung,die,"warranty, guarantee",
Gewalt,die,"violence, force, power, control, authority",B1
Gewässer,das,"water body, body of water, stretch of water",
Gewebe,das,"fabric, tissue",
Gewehr,das,"rifle, gun, shotgun",
Gewerkschaft,die,trade union,B1
Gewicht,das,weight,A1
Gewinn,der,"profit, gain, earnings, prize, earnings",B1
Gewinner,der,winner,
Gewissen,das,conscience,B1
Gewitter,das,"thunderstorm, storm",A2
Gewohnheit,die,habit,B1
Gewürz,das,"spice, herb",B1
Gier,die,"greed, craving for, lust, avarice",
Gift,das,"poison, toxin, venom",B1
Gipfel,der,"peak, summit, top",
Giraffe,die,giraffe,B1
Girokonto,das,"current account, checking account",B1
Gitarre,die,guitar,A2
Glas,das,"glass, jar",A1
Glatze,die,"bald head, baldness, skinhead",
Glaube,der,"faith, belief",
Gleichgewicht,das,"balance, equilibrium",
Gleichheit,die,"equality, equity, sameness",
Gleichung,die,equation,
Gleis,das,"track, rail, platform",A1
Glied,das,"limb, joint, link",
Glocke,die,bell,
Glück,das,"luck, fortune, happiness",A1
Glücksspiel,das,"gambling, game of chance",
Glückszahl,die,lucky number,
Glückwunsch,der,congratulation,A1
Glühbirne,die,"bulb, light bulb, electric bulb",
GmbH,die,"limited liability company, Ltd",
Gold,das,gold,B1
Golf,das,golf,B1
Golf,der,gulf,B1
Gott,der,god,B1
Gottesdienst,der,"service, church service, worship",
Grab,das,grave,
Grad,der,"degree, level, extent",A1
Graf,der,"count, earl",
Grafik,die,"graphic, diagram, chart",B1
Gramm,das,gram,A1
Grammatik,die,"grammar, grammar book",
Gras,das,grass,B1
Gratulation,die,congratulation,B1
Grenze,die,"border, boundary, frontier",B1
Grenzwert,der,"limiting value, limit, threshold",
Griechenland,das,Greece,
Griff,der,"handle, grip, grasp",
Grill,der,"grill, barbecue",B1
Grippe,die,"influenza, flu, cold",A2
Großbritannien,das,Great Britain,
Größe,die,"size, height",A1
"Großeltern, pl.",die,grandparents,A1
Großmutter,die,grandmother,A1
Großstadt,die,"big city, large city, large town",
Großteil,der,"large part, major part, majority, bulk",
Großvater,der,"grandfather, grandpa",A1
Großzügigkeit,die,generosity,
Grube,die,"pit, mine, (large) hole",
Grund,der,"reason, cause, occasion, bottom, ground",B1
Grundgesetz,das,Basic Law,
Grundlage,die,"basis, base, foundation",
Grundsatz,der,principle,
Grundschule,die,"primary school, elementary school",
Grundstück,das,"plot of land, property, estate",B1
Gründung,die,foundation,
Gruppe,die,group,A1
Gruß,der,"greeting, salute, saluation",A1
Gunst,die,"goodwill, favor, favour",
Gurke,die,"cucumber, gherkin",
Gürtel,der,belt,
Gut,das,"estate, good(s), commodity",
Gutachten,das,"expert report, expert opinion, survey, assessment",
Gymnasium,das,"secondary school, grammar school, high school",
Gymnastik,die,gymnastics,B1
Haar,das,hair,A1
Hackfleisch,das,"minced meat, ground meat",B1
Hafen,der,"harbour, port, haven",B1
Haft,die,"custody, detention, imprisonment, confinement",
Hagel,der,hail,
Hahn,der,"cock, rooster",
Hähnchen,das,chicken,A1
Hai,der,shark,
Halbpension,die,half-board,A1
Hälfte,die,half,B1
Halle,die,hall,A1
Hallenbad,das,indoor swimming pool,B1
Hals,der,"neck, throat",A2
Halsschmerz,der,sore throat,
Halt,der,"stop, halt, support, hold, grip",B1
Haltestelle,die,"stop, station",A1
Halteverbot,das,"no-stopping (zone), stopping restriction",
Haltung,die,"posture, attitude",
Hamburger,der,hamburger,A2
Hammer,der,hammer,B1
Hand,die,hand,A1
Handarbeit,die,"manual work, handwork, craftsmanship, handicraft",
Handel,der,"trade, trading, deal, commerce",B1
Handeln,das,action,
Händler,der,"trader, dealer, retailer, merchant, distributor",B1
Handlung,die,"action, plot, story",
Handschelle,die,handcuff,
Handschrift,die,"handwriting, manuscript",
Handschuh,der,glove,
Handtasche,die,handbag,
Handtuch,das,towel,A2
Handwerk,das,"craft, trade, handicraft, handcraft",
Handwerker,der,"workman, tradesman, craftsman, artisan, handyman",A2
Handy,das,"mobile (phone), cell phone",A1
Hang,der,"slope, hillside, inclination, tendency, penchant",
Hase,der,"rabbit, hare",B1
Hass,der,"hate, hatred, rancour, rancor",
Hauptbahnhof,der,"main station, central station",B1
Hauptstadt,die,"capital, capital city",A2
Hauptstraße,die,"main street, main road",
Haus,das,"house, home, building",A1
Hausaufgabe,die,homework,A1
Hausfrau,die,"housewife, homemaker",A1
Haushalt,der,"household, budget",A2
Hausmann,der,"house husband, househusband",A1
Hausmeister,der,"caretaker, janitor",B1
Haustier,das,"pet, domestic animal",B1
Haustür,die,front door,
Haut,die,skin,B1
Heft,das,"notebook, booklet, issue",A2
Heim,das,"home, asylum",B1
Heimat,die,"home, homeland",A1
Heimweh,das,homesickness,B1
Heirat,die,marriage,
Heiratsantrag,der,"proposal, marriage proposal",
Heizung,die,"heating, heater, radiator",A2
Held,der,hero,B1
Heldin,die,heroine,B1
Helfer,der,"helper, assistant, volunteer, aid(e), accomplice",
Helligkeit,die,"brightness, light, lightness",
Helm,der,helmet,
Hemd,das,shirt,A2
Herausforderung,die,challenge,B1
Herbst,der,"autumn, fall",A1
Herd,der,"cooker, stove, range",A1
Herde,die,"herd, flock",
Herkunft,die,origin,B1
Herr,der,"man, Mr, gentleman",A1
Herrschaft,die,"power, reign, rule, dominion, domination",
Hersteller,der,"manufacturer, producer",B1
Herstellung,die,"production, fabrication, manufacture, manufacturing",
Herz,das,heart,B1
Hexe,die,witch,
Hilfe,die,"help, aid, assistance, support",A1
Hilfsmittel,das,aid,B1
Himmel,der,"sky, heaven",A2
Himmelsrichtung,die,"cardinal direction, direction, point of the compass",
Hinblick,der,"view, regard",
Hindernis,das,obstacle,
Hinsicht,die,"respect, regard",
Hintergrund,der,background,
Hintern,der,"buttocks, butt, bum, bottom, backside",
Hinweis,der,"hint, tip, note, notice, indication",B1
Hitze,die,heat,B1
Hobby,das,hobby,A1
Hochhaus,das,"high-rise building, multi-storey building",
Hochschule,die,"college, university, academy, higher education institution",
Hochzeit,die,wedding,A1
Hof,der,"courtyard, court, yard, farm",B1
Hoffnung,die,hope,B1
Höhe,die,"height, altitude",B1
Höhepunkt,der,"highlight, climax, high point, peak",
Höhle,die,cave,
Hölle,die,hell,
Holz,das,wood,B1
Homepage,die,home page,A2
Honig,der,honey,B1
Honorar,das,"fee, remuneration",
Hörer,der,"listener, receiver, handset",B1
Horizont,der,horizon,
Hose,die,"trousers, pants",A2
Hotel,das,hotel,A1
Hügel,der,"hill, mound",B1
Huhn,das,"chicken, hen",
Humor,der,"humour, humor",B1
Hund,der,dog,A1
Hunger,der,hunger,A1
Hürde,die,hurdle,
Husten,der,cough,B1
Hut,der,"hat, cap",B1
Hütte,die,"hut, cabin, cottage",B1
Hypothese,die,hypothesis,
Idee,die,idea,A2
Identität,die,identity,
Igel,der,hedgehog,
Imbiss,der,snack,B1
Immobilie,die,"property, real estate",
Immunsystem,das,immune system,
Impfung,die,"vaccination, inoculation",
Import,der,import(ation),B1
Impuls,der,"stimulus, impulse, momentum",
Inbetriebnahme,die,"commissioning, start-up, launch, putting into operation",
Indianer,der,"Native American, Indian",
Indien,das,India,
Individuum,das,individual,
Industrie,die,industry,B1
Infektion,die,infection,B1
Informatik,die,"computer science, informatics",
Information,die,information,A1
Infrastruktur,die,infrastructure,
Ingenieur,der,engineer,B1
Inhalt,der,"content, contents",B1
Initiative,die,initiative,
Innenminister,der,"Interior Minister, Minister of the Interior",
Innenraum,der,interior,
Innenstadt,die,"city centre, inner city, town centre, downtown",
Insekt,das,insect,B1
Insel,die,island,A2
Inserat,das,"ad(vert), advertisement",B1
Institut,das,institute,B1
Instrument,das,instrument,A2
Inszenierung,die,"production, staging",
Integration,die,integration,B1
Intelligenz,die,intelligence,B1
Intensivkurs,der,intensive course,B1
Interesse,das,interest,A2
Internet,das,"internet, web",A1
Interpretation,die,interpretation,
Intervall,das,interval,
Interview,das,interview,A2
Investition,die,investment,
Investor,der,investor,
Irrglaube,der,"misconception, misbelief, erroneous belief, mistaken belief",
Irrtum,der,"mistake, error",
Island,das,Iceland,
Italien,das,Italy,
Italiener,der,Italian,
Italienisch,das,Italian,
Jacke,die,"coat, jacket",A1
Jagd,die,"hunt, hunting, chase",
Jäger,der,hunter,
Jahr,das,year,A1
Jahreszeit,die,season,
Jahrhundert,das,century,B1
Jahrtausend,das,millennium,B1
Jahrzehnt,das,decade,B1
Januar,der,January,A1
Japan,das,Japan,
Japanisch,das,Japanese,
Jeans,die,jeans,A2
Job,der,job,A1
Joghurt,der,"yoghurt, yogurt",
Journalist,der,journalist,A2
Jubiläum,das,"anniversary, jubilee",
Jude,der,Jew,
Jugend,die,"youth, young people",B1
Jugendherberge,die,youth hostel,A2
Jugendliche,der,"adolescent, youngster, young person",A1
Juli,der,July,A1
Junge,der,boy,A1
Jungfrau,die,"virgin, Virgo",
Juni,der,June,A1
Kabel,das,"wire, cable, cord",B1
Kabine,die,"cabin, booth, changing room",B1
Käfer,der,"beetle, bug",
Kaffee,der,coffee,A1
Kaiser,der,"emperor, imperator",
Kaiserschnitt,der,"C-section, Caesarean (section)",
Kakao,der,"cocoa, chocolate milk, hot chocolate",B1
Kalender,der,calendar,A2
Kalorie,die,calorie,
Kälte,die,"cold, coldness, cold weather",B1
Kamera,die,camera,A2
Kamm,der,"comb, crest",
Kammer,die,"chamber, small room",
Kampf,der,"fight, struggle, battle",B1
Kanada,das,Canada,
Kanal,der,"canal, channel",B1
Kandidat,der,"candidate, nominee, contestant",B1
Kanne,die,"pot, can, jug",B1
Kante,die,edge,
Kantine,die,"canteen, cafeteria",B1
Kapital,das,"capital, asset",
Kapitalismus,der,capitalism,
Kapitän,der,captain,
Kapitel,das,chapter,B1
Karneval,der,carnival,A2
Karotte,die,carrot,B1
Karriere,die,career,B1
Karte,die,"card, map, ticket, menu",A1
Kartoffel,die,potato,A1
Karton,der,"carton, box, cardboard",
Käse,der,cheese,A2
Kasse,die,"cash register, checkout, till",A1
Kassette,die,"cassette, tape",B1
Kasten,der,"box, crate",B1
Katalog,der,"catalog, catalogue",B1
Katastrophe,die,"disaster, catastrophe",B1
Kategorie,die,category,
Katze,die,cat,A2
Kauf,der,"purchase, buy, acquisition",B1
Käufer,der,"buyer, purchaser, shopper",B1
Kauffrau,die,businesswoman,A2
Kaufhaus,das,department store,A2
Kaufmann,der,"businessman, merchant",A2
Kaugummi,das,"chewing gum, gum",
Keim,der,"germ, seed, sprout",
Keks,der,"biscuit, cookie",
Keller,der,"cellar, basement",A2
Kellner,der,waiter,A2
Kellnerin,die,waitress,A2
Kenntnis,die,"knowledge, skills",A2
Kennzeichen,das,"registration number, license plate, indicator, characteristic",B1
Kerl,der,"fellow, bloke, guy, dude",
Kern,der,"seed, stone, core, nucleus, essence, pit",
Kerze,die,candle,B1
Ketchup,der,ketchup,
Kette,die,"chain, necklace",A2
"Kilogramm, kg",das,kilogram,A1
"Kilometer, km",der,"kilometer, kilometre",A1
Kind,das,"child, kid",A1
Kindergarten,der,"kindergarten, nursery school",A1
Kinderwagen,der,"pushchair, pram, baby carriage, stroller, buggy",
Kindheit,die,"childhood, infancy",B1
Kino,das,"cinema, movie theatre",A1
Kiosk,der,kiosk,A1
Kirche,die,church,A2
Kirsche,die,cherry,
Kissen,das,"pillow, cushion",B1
Kiste,die,"box, crate",B1
Klage,die,"complaint, lawsuit",
Klang,der,"sound, tone",
Klarheit,die,"clarity, clearness",
Klasse,die,"class, classroom, grade",A1
Klassenarbeit,die,class test,B1
Klassenfahrt,die,"school trip, class trip, class outing",A2
Klassenzimmer,das,classroom,
Klassik,die,"classical antiquity, classical age, classical music",
Klausur,die,"exam, examination, test, cloister, enclosure",
Klavier,das,piano,A2
Kleid,das,dress,A2
Kleidung,die,"clothes, clothing",A1
Kleidungsstück,das,"garment, article of clothing, piece of clothing, item of clothing",
Kleingeld,das,"change, small change",
Kleinigkeit,die,"small thing, little something, trifle, snack, bite",
Klick,der,click,B1
Klima,das,climate,B1
Klimaanlage,die,air-conditioning,B1
Klingel,die,"bell, doorbell",B1
Klinik,die,"clinic, hospital",B1
Klo,das,"toilet, loo, can, john",
Kloß,der,"dumpling, lump",B1
Kloster,das,"monastery, convent",
Knall,der,"bang, pop, crack",
Kneipe,die,"pub, bar",B1
Knie,das,knee,B1
Knochen,der,bone,B1
Knödel,der,dumpling,B1
Knopf,der,"button, knob",B1
Knoten,der,"knot, lump, node",
Koalition,die,coalition,
Koch,der,"cook, chef",A2
Kochbuch,das,"cookbook, cookery book",
Köchin,die,"cook (female), chef (female)",A2
Koffer,der,"case, suitcase",A1
Kofferraum,der,"boot, trunk",
Kohl,der,cabbage,
Kohle,die,coal,
Kohlensäure,die,carbonic acid,
Kollege,der,"colleague, workmate, associate",A1
Kollegin,die,colleague (female),A1
Köln,das,Cologne,
Kolonie,die,colony,
Kombination,die,combination,
Komma,das,"comma, (decimal) point",
Kommentar,der,"comment, commentary, remark, annotation",B1
Kommissar,der,"commissioner, inspector",
Kommune,die,"municipality, community, local authority, commune",
Kommunikation,die,communication,B1
Kommunismus,der,communism,
Kompetenz,die,"competence, authority",
Komponente,die,component,
Komponist,der,composer,
Kompromiss,der,compromise,B1
Konferenz,die,conference,B1
Konfitüre,die,"jam, preserve",B1
Konflikt,der,conflict,B1
Kongress,der,"congress, convention",
König,der,king,B1
Königin,die,queen,
Konjunktur,die,"economy, economic activity, economic cycle, economic situation",
Konkurrent,der,"competitor, rival",
Konkurrenz,die,competition,B1
Konsequenz,die,consequence,
Konserve,die,"preserved food, canned food",
Konstruktion,die,"construction, design",
Konsulat,das,consulate,B1
Konsum,der,consumption,B1
Konsument,der,consumer,
Kontakt,der,contact,A2
Kontext,der,context,
Kontinent,der,continent,
Konto,das,account,A1
Kontrolle,die,"control, check, inspection",B1
Konzentration,die,concentration,
Konzept,das,"concept, approach, idea, draft, plan",
Konzern,der,"group, concern, corporation",
Konzert,das,concert,A2
Kooperation,die,cooperation,
Kopf,der,"head, mind",A1
Kopfhörer,der,"headphone, earphone, headset",
Kopfschmerz,der,headache,
Kopie,die,"photocopy, copy, replica, duplicate",B1
Kopierer,der,(photo)copier,B1
Koralle,die,coral,
Korkenzieher,der,corkscrew,
Korn,das,"grain, corn",
Körper,der,body,A2
Körpergröße,die,"height, body size",
Körperverletzung,die,"assault, battery, personal injury, bodily injury, bodily harm",
Korridor,der,corridor,B1
Kosmetik,die,cosmetics,A2
Kosten,die,"costs, expenses",B1
Kostüm,das,costume,B1
Kraft,die,"strength, power, force",B1
Kraftfahrzeug,das,motor vehicle,B1
Kraftwerk,das,"power station, power plant",B1
Kranke,der,"invalid, sick person, patient",B1
Krankenhaus,das,"hospital, clinic",A2
Krankenkasse,die,health insurance company,A2
Krankenpfleger,der,(male) nurse,A2
Krankenschwester,die,nurse,A2
Krankenversicherung,die,health insurance,
Krankenwagen,der,ambulance,B1
Krankheit,die,"illness, disease",A2
Kratzer,der,"scratch, scraper",
Kraut,das,"herb, cabbage",
Krawatte,die,tie,
Kreativität,die,creativity,
Krebs,der,"crab, cancer, Cancer",
Kredit,der,"credit, loan",A2
Kreditkarte,die,credit card,B1
Kreis,der,circle,B1
Kreislauf,der,"circulation, cycle, circuit",
Kreuz,das,cross,B1
Kreuzung,die,"crossroads, intersection, junction, crossbreed",A2
Krieg,der,war,B1
Krimi,der,"crime thriller, crime novel, murder mystery, detective novel",A2
Kriminalität,die,"crime, crime rate, criminality",
Kriminalpolizei,die,Criminal Investigation Department,B1
Krise,die,crisis,B1
Kriterium,das,criterion,
Kritik,die,"criticism, review",B1
Kritiker,der,critic,
Krokodil,das,crocodile,B1
Krone,die,"crown, top, crest, krone, krona",
Küche,die,"kitchen, cuisine",A1
Kuchen,der,"cake, pie",A1
Kugel,die,"ball, sphere, bullet, globe, scoop",
Kugelschreiber,der,"pen, ball pen, ballpoint pen",A1
Kuh,die,cow,B1
Kühlschrank,der,"refrigerator, fridge",A1
Kuli,der,ballpoint (pen),A1
Kultur,die,culture,A2
Kunde,der,"customer, client",A1
Kündigung,die,"termination, notice, dismissal, cancellation, resignation",B1
Kundin,die,"customer (female), client (female)",A1
Kunst,die,art,A2
Künstler,der,artist,A2
Künstlerin,die,artist (female),A2
Kunststoff,der,"plastic, synthetic material",B1
Kunstwerk,das,"artwork, work of art, piece of art",
Kurs,der,"course, class, rate, exchange rate",A1
Kursleiter,der,"course instructor, course leader, course director",B1
Kurve,die,"curve, bend, turn, graph",B1
Kuss,der,kiss,B1
Küste,die,"coast, coastline, shore, seaside",B1
Kuvert,das,envelope,B1
Labor,das,"laboratory, lab",
Lächeln,das,smile,
Lack,der,"paint, varnish, lacquer",
Laden,der,"shop, store",A1
Lage,die,"situation, location, position, layer, condition",B1
Lager,das,"warehouse, storehouse, storage, stock, camp",B1
Lagerfeuer,das,"campfire, bonfire",
Laib,der,loaf,
Lampe,die,lamp,A2
Lampenfieber,das,stage fright,
Land,das,"land, country, state, countryside, nation",A1
Landesregierung,die,state government,
Landkreis,der,"district, county",
Landschaft,die,"landscape, countryside",A2
Landstraße,die,"road, country road, highway",
Landtag,der,state parliament,
Landung,die,landing,B1
Landwirt,der,farmer,
Landwirtschaft,die,"agriculture, farming",B1
Länge,die,"length, longitude",B1
Langeweile,die,"boredom, ennui, tedium",B1
Lappen,der,"cloth, rag",
Laptop,der,laptop,A2
Lärm,der,"noise, racket, din",B1
Last,die,"load, burden",
Laster,das,vice,
Laster,der,"truck, lorry",B1
Lastkraftwagen/LKW,der,"truck, lorry",A1
Latein,das,Latin,A2
Lauf,der,"run, running, race, course, barrel",
Laufwerk,das,"drive, disk drive",B1
Laufzeit,die,"term, duration, runtime",
Laune,die,mood,B1
Lautsprecher,der,"speaker, loudspeaker",B1
Lautstärke,die,"volume, loudness",
Lavendel,der,lavender,
Leben,das,life,A1
Lebensjahr,das,year of one’s life,
Lebenslauf,der,"curriculum vitae, CV, résumé, resume",B1
Lebensmittel,das,"food(s), groceries",A1
Lebewesen,das,living being,
Leder,das,leather,B1
Legende,die,"legend, key",
Lehre,die,"apprenticeship, lesson, doctrine",B1
Lehrer,der,teacher,A1
Lehrerin,die,teacher (female),A1
Lehrling,der,"apprentice, trainee",B1
Lehrstelle,die,"apprenticeship, traineeship, trainee position",B1
